Date,Description,Amount,Balance
20200625,INETBNK TRF CREDIT ABSA BANK Savings June 2020 ,14200.00,400148.53
20200703,ADMIN FEE  ,0.00,400148.53
20200703,ADMINISTRATION FEE  ,-29.00,400119.53
