Date,Description,Amount,Balance
20190903,ADMIN FEE  ,0.00,250026.53
20190903,ADMINISTRATION FEE  ,-26.00,250000.53
20190905,INETBNK TRF CREDIT ABSA BANK Savings for Aug19 ,10000.00,260000.53
