Date,Description,Amount,Balance
20191025,ENGEN SONNENDAL          PANORAMA     ZA 74790509297715508893371 ,-639.60,0.00
20191026,C*Makro Montague         MILNERTON    ZA 74548589299001800000352 ,-2335.80,0.00
20191028,pay down cc 74565469300808910120007 ,2973.00,0.00
20191101,MONTHLY ACCOUNT FEE  ,-23.00,0.00
20191101,CREDIT FACILITY SERVICE FEE  ,-27.00,0.00
20191101,CREDIT LIFE PREMIUM  ,-2.48,0.00
20191102,I AFRIHOST.COM 2        SEDENBURG     ZA 74548589306002303021698 ,-310.00,0.00
20191105,SMS FEE  ,-5.40,0.00
20191105,C*TRAC-MAC               BELLVILLE    ZA 74548589309000005900109 ,-881.20,0.00
20191105,NETFLIX.COM              Amsterdam    NL 74987509308330385164944 ,-99.00,0.00
20191106,pay down CC 74565469310808910120005 ,1400.00,0.00
20191108,C*BP KENRIDGE            KENRIDGE     ZA 74548589312000009261289 ,-713.64,0.00
20191111,petrol 74565469314808910120001 ,662.00,0.00
