Date,Description,Amount,Balance
20191028,INETBNK TRF CREDIT ABSA BANK Savings ,10100.00,280174.53
20191103,ADMIN FEE  ,0.00,280174.53
20191103,ADMINISTRATION FEE  ,-26.00,280148.53
