Date,Description,Amount,Balance
20180630,C*BWH CITY / YSTERPLAAT  CITY         ZA 74565468181301436000040 ,-3800.00,0.00
20180702,MONTHLY ACCOUNT FEE  ,-21.18,0.00
20180702,CREDIT FACILITY SERVICE FEE  ,-25.22,0.00
20180702,CREDIT LIFE PREMIUM  ,-22.66,0.00
20180703,C*PNP PANARAMA FAMILY    PANARAMA     ZA 74565468184031904001843 ,-677.22,0.00
20180703,SABC TV Licences         JHB          ZA 74922138183016610060041 ,-265.00,0.00
20180703,I AFRIHOST.COM 2        SEDENBURG     ZA 74548588184000905026411 ,-727.00,0.00
20180704,NETFLIX.COM              Amsterdam    NL 74987508185001163923930 ,-114.19,0.00
20180705,SMS FEE  ,-3.30,0.00
