Date,Description,Amount,Balance
20200527,INETBNK TRF CREDIT ABSA BANK Savings May 27 ,10000.00,375977.53
20200527,INETBNK TRF CREDIT ABSA BANK Savings May 27 ,10000.00,385977.53
20200603,ADMIN FEE  ,0.00,385977.53
20200603,ADMINISTRATION FEE  ,-29.00,385948.53
